timestamp,dttm_utc,value,estimated,anomaly
1356993000,2012-12-31 22:30:00,47.1857,0,""
1356993300,2012-12-31 22:35:00,50.2871,0,""
1356993600,2012-12-31 22:40:00,50.5363,0,""
1356993900,2012-12-31 22:45:00,48.4595,0,""
1356994200,2012-12-31 22:50:00,48.6533,0,""
1356994500,2012-12-31 22:55:00,42.7828,0,""
1356994800,2012-12-31 23:00:00,41.3152,0,""
1356995100,2012-12-31 23:05:00,43.4474,0,""
1356995400,2012-12-31 23:10:00,53.8039,0,""
1356995700,2012-12-31 23:15:00,49.5118,0,""
1356996000,2012-12-31 23:20:00,48.8749,0,""
1356996300,2012-12-31 23:25:00,51.0348,0,""
1356996600,2012-12-31 23:30:00,50.0656,0,""
1356996900,2012-12-31 23:35:00,49.3733,0,""
1356997200,2012-12-31 23:40:00,49.1241,0,""
1356997500,2012-12-31 23:45:00,48.0718,0,""
1356997800,2012-12-31 23:50:00,56.213,0,""
1356998100,2012-12-31 23:55:00,56.4623,0,""
1356998400,2013-01-01 00:00:00,56.6561,0,""
